Name,Platform,Sources,Scores
Ninja Gaiden: Master Collection, PC,"CD-Action,Gamer Escape,Digital Chumps,GameCritics,Gamepressure,TheSixthAxis,Jeuxvideo.com,PCMag,PC Invasion,Riot Pixels,Ragequit.gr","80,80,77,75,70,70,70,70,70,65,65"
Lords of Xulima, PC,"Vandal,3DJuegos,Meristation,Eurogamer Poland,Digitally Downloaded,Riot Pixels,Games.cz,CD-Action,LEVEL (Czech Republic)","82,80,80,70,70,70,70,65,60"
Sherlock Holmes: Crimes & Punishments, Xbox One,"Pelit (Finland),MondoXbox,games(TM),Gamer.no,X-ONE Magazine UK,Pure Xbox,GameGrin,Official Xbox Magazine UK","86,80,70,70,70,70,65,60"
Bee Movie Game," Xbox 360, PlayStation 2","Game Chronicles,PGNx Media,GameZone,Official Xbox Magazine,XboxAddict,VideoGamer,Video Game Talk,MEGamers,Gamers' Temple,Digital Entertainment News,DailyGame,My Gamer,ZTGD,Da Gameboyz,Game Almighty,IGN,Gaming Nexus,GamingTrend,Armchair Empire,Official Xbox Magazine UK,TeamXbox,GameSpot,PTGamers,Cheat Code Central,GamesRadar+,PGNx Media,VideoGamer,Game Chronicles,NZGamer,IGN,TotalPlayStation,GameSpot,PTGamers,GameZone,Official Playstation 2 Magazine UK,GamesRadar+","88,80,80,80,80,80,80,80,79,79,77,76,75,74,72,70,70,70,70,70,68,65,65,60,50,80,80,70,70,65,65,65,65,61,60,50"
Gyromancer, PC,"GamesRadar+,PC PowerPlay,Game Informer,PC Gamer,Edge Magazine,PC Zone UK,LEVEL (Czech Republic),RPGamer","80,80,78,71,70,69,60,50"
Brothers in Arms: Earned in Blood, PlayStation 2,"BonusStage,TotalGames.net,PSM Magazine,Electronic Gaming Monthly,Play.tm,Times Online,Computer and Video Games,Official U.S. Playstation Magazine,Game Chronicles,Gamers' Temple,Worth Playing,GamePro,The Sydney Morning Herald,Digital Entertainment News,Official Playstation 2 Magazine UK,GameSpot,Gaming Horizon,GameSpy,IGN,TotalPlayStation","91,90,90,83,83,80,80,80,78,77,75,70,70,70,70,68,66,60,50,50"
Mortal Kombat: Armageddon, Wii,"Official Nintendo Magazine UK,ZTGD,Nintendo Power,Yahoo!,GameDaily,AceGamez,Nintendo Gamer,IGN,Games Master UK,GamingTrend,GameTrailers,Game Chronicles,Game Informer,GameSpot,GameShark,GameZone,Cheat Code Central,Kombo,PALGN,NintendoWorldReport,VideoGamer,DarkStation,1UP,GamePro,GameSpy,games(TM),Game Revolution,Electronic Gaming Monthly,Play Magazine","85,85,80,80,80,80,79,78,78,78,76,76,75,75,75,75,74,70,70,70,70,70,65,60,60,60,58,57,50"
Shakedown Hawaii, PC,"Vandal,The Games Machine,GameStar,Merlin'in Kazanı (Turkey),Edge Magazine,LevelUp,The Indie Game Website","82,79,71,71,70,70,60"
World of Final Fantasy Maxima, PlayStation 4,"RPG Fan,Eurogamer Italy,Push Square,Digital Chumps,PlayStation Universe,COGconnected,GamingTrend,RPG Site,Cubed3,We Got This Covered","80,80,80,79,75,70,70,70,60,50"
Minecraft: Story Mode Season Two - Episode 1: Hero in Residence," Xbox One, PC, PlayStation 4","TheXboxHub,XGN,TrueAchievements,ICXM,Game Informer,Cubed3,Official Xbox Magazine UK,COGconnected,DualShockers,DarkStation,GameGrin,USgamer,Twinfinite,God is a Geek,Game Informer,SpazioGames,Game World Navigator Magazine,Attack of the Fanboy,GameSpew,Vandal,PlayStation Universe,Playstation Official Magazine UK,PlaySense,TheSixthAxis,Game Informer,Everyeye.it,Trusted Reviews,Push Square","90,85,80,75,68,60,60,88,80,80,75,70,70,70,68,65,63,60,80,75,75,70,70,70,68,65,60,40"
Minecraft: Story Mode - Episode 4: A Block and a Hard Place," Xbox One, PC","Digitally Downloaded,Game Revolution,God is a Geek,We Got This Covered,ICXM,Critical Hit,XGN,IGN,Attack of the Fanboy,GameCrate,Game Informer,Everyeye.it,Multiplayer.it,RPG Fan,Games.cz,Destructoid","80,80,80,80,70,70,65,63,80,80,78,75,72,65,60,40"
