name,platform,sources,scores
NieR: Automata - 3C3C1D119440927, PlayStation 4,"Digitally Downloaded,Gaming Nexus,COGconnected,CGMagazine,Destructoid,Attack of the Fanboy,Impulsegamer,Digital Chumps,Eurogamer Italy,Everyeye.it","100,85,85,80,80,80,76,75,70,58"
Zen Pinball 2: Bethesda Pinball, PlayStation 4,"DarkStation,ZTGD,CD-Action,GamingTrend,GameGrin,GameCritics,COGconnected,Destructoid,High-Def Digest","100,95,90,85,70,70,70,70,70"
Fallout 4: Far Harbor, PC,"GameGrin,GameCrate,Attack of the Fanboy,CD-Action,XGN,IGN,Multiplayer.it,Game Over Online,The Games Machine,3DJuegos,Hardcore Gamer,PC Gamer,Everyeye.it,Quarter to Three,GameSpot","90,90,90,85,85,83,82,80,80,80,80,80,70,60,60"
King's Quest Chapter 3: Once Upon a Climb, PlayStation 4,"Vandal,PlaySense,Everyeye.it,Hardcore Gamer,We Got This Covered,PlayStation LifeStyle,Game Informer,COGconnected,Brash Games,GameCritics","88,85,85,80,80,80,80,75,70,65"
Goetia, PC,"Adventure Gamers,GameGrin,PLAY! Zine,IGN Spain,God is a Geek,Gameblog.fr,GameSpew","100,85,85,77,75,70,70"
Dying Light: The Following, PC,"TheSixthAxis,Eurogamer Poland,IGN,Pelit (Finland),Game Debate,GameGrin,SpazioGames,Gameplanet,IGN Italia,Multiplayer.it,3DJuegos,IGN Spain,Wccftech,LEVEL (Czech Republic),PC PowerPlay,Gamer.nl,Ragequit.gr,DarkStation,InsideGamer.nl,Game Revolution,USgamer,Meristation,ZTGD,PC Gamer,LevelUp,Gameblog.fr,Cheat Code Central,GRYOnline.pl,Game Over Online,GameWatcher,PCWorld,Games.cz,Metro GameCentral","90,90,88,86,85,85,85,85,85,85,85,85,84,80,80,80,80,80,80,80,80,80,80,80,80,80,80,75,70,70,70,60,50"
Monster Tale, DS,"Nintendojo,Game Over Online,Worth Playing,GamesRadar+,GameCritics,IGN,1UP,Nintendo Gamer,GameSpot,Destructoid,Nintendo Power,NintendoWorldReport,Eurogamer,Thunderbolt,Edge Magazine","91,90,90,90,85,85,83,80,80,80,80,80,70,70,60"
Tropico 3: Absolute Power, PC,"GamingExcellence,GameShark,Gaming Nexus,PC PowerPlay,GameStar,GameSpot,GameZone,PC Gamer,PC Gamer UK,Gamers.at,Absolute Games","84,83,83,80,80,80,80,79,77,72,70"
Age of Zombies, PSP,"Kombo,IGN,TotalPlayStation,Playstation Official Magazine UK,Destructoid,ZTGD,TheSixthAxis,Pocket Gamer UK,GameSpot,Game Revolution,Gamer Limit","90,90,90,90,80,75,70,70,70,67,65"
Bit.Trip Void, Wii,"Nintendo Life,Cheat Code Central,Pelit (Finland),Game Over Online,Official Nintendo Magazine UK,Destructoid,IGN,GameSpot,NintendoWorldReport,Universo Nintendo,ZTGD,Metro GameCentral,Gamereactor Sweden,Eurogamer,Gamer.nl,Multiplayer.it,Gaming Age,Everyeye.it,Nintendo Gamer","90,88,87,86,82,80,80,80,80,80,80,80,80,80,80,80,67,65,60"
NBA 09 The Inside, PSP,"PGNx Media,GamingTrend,IGN,GamesRadar+,Modojo,Armchair Empire,Hardcore Gamer,GameFocus,Playstation: The Official Magazine (US)","89,85,82,80,80,80,75,73,70"
