Name,Platform,Sources,Scores
Split/Second, PSP,"Vandal,Everyeye.it,Play UK,Meristation,Playstation Official Magazine UK,Da Gameboyz,Playstation: The Official Magazine (US),GamingXP,Games Master UK,GameSpot,PSM3 Magazine UK,SpazioGames,LEVEL (Czech Republic),IGN,Gaming Nexus,1UP","85,78,71,70,70,70,70,70,68,65,61,56,50,50,50,42"
Fable Fortune, PC,"CD-Action,IGN,IGN,Meristation,Worth Playing,IGN Spain,Jeuxvideo.com,The Games Machine,Vandal,CGMagazine,Destructoid","75,70,70,65,65,65,60,60,55,55,45"
Eufloria, PC,"PC Gamer UK,games(TM),PC PowerPlay,LEVEL (Czech Republic),Multiplayer.it,PC Zone UK,PC Format,Eurogamer,Destructoid","77,70,70,70,65,63,60,50,40"
Wii Music, Wii,"1UP,Nintendo Gamer,Games Master UK,3DJuegos,Official Nintendo Magazine UK,Gameplayer,Zentendo,NZGamer,Hardcore Gamer,n-Revolution Magazine UK,Universo Nintendo,Gamer 2.0,GameSpy,GamePro,NintendoWorldReport,Wired,Thunderbolt,IGN UK,Cubed3,games(TM),Electronic Gaming Monthly,GameShark,GameSpot,Cheat Code Central,Gamervision,Meristation,Game Positive,Play.tm,GameTrailers,HellBored,IGN,Kombo,GameDaily,GamesRadar+,Eurogamer,Variety,GameZone,VideoGamer,Gameplanet,LEVEL (Czech Republic),Game Informer,DarkZero,Game Revolution","91,89,88,83,80,80,80,80,80,80,80,76,70,70,70,70,70,70,70,70,69,67,65,62,60,60,60,60,58,55,50,50,50,50,50,40,40,40,40,40,30,30,25"
Sacred Citadel," Xbox 360, PlayStation 3, PC","Gaming Age,Game Revolution,Game Over Online,Gaming Nexus,GameFocus,NowGamer,GamesRadar+,InsideGamer.nl,XGN,Impulsegamer,Official Xbox Magazine,MondoXbox,Post Arcade (National Post),3DJuegos,Official Xbox Magazine UK,Gamereactor Sweden,Console Monster,IGN,COGconnected,GamingTrend,SpazioGames,4Players.de,GameCritics,GameOver.gr,PlayStation Universe,Push Square,Everyeye.it,IGN Italia,PlayStation LifeStyle,Multiplayer.it,Vandal,Official PlayStation Magazine Benelux,Digital Chumps,LaPS4,PlaySense,Eurogamer Italy,Meristation,Games Master UK,Playstation Official Magazine Australia,Eurogamer Germany,Machinima,Game Informer,ZTGD,Gamer Limit,RPG Fan,DarkZero,Gameblog.fr,Destructoid,IGN,Riot Pixels,CD-Action,Hooked Gamers,GameWatcher,GameStar,Armchair Empire","83,80,80,74,70,70,70,68,65,65,65,65,65,64,60,60,60,59,58,57,55,50,45,40,75,70,70,70,70,70,65,62,62,61,60,60,60,58,50,40,75,73,70,65,65,60,60,60,59,57,55,55,55,51,50"
Harvest Moon 3D: The Tale of Two Towns, 3DS,"Pocket Gamer UK,Nintendo Power,Cheat Code Central,Impulsegamer,NintendoWorldReport,Nintendo Gamer,4Players.de,Official Nintendo Magazine UK,Vandal,Nintendo Life,GamePro,Hyper Magazine,Level7.nu,Metro GameCentral","80,75,74,70,70,69,68,60,60,60,60,50,50,50"
Lucidity," Xbox 360, PC","Pelit (Finland),Official Xbox Magazine,Eurogamer,TeamXbox,Impulsegamer,Planet Xbox 360,Vandal,games(TM),Official Xbox Magazine UK,Game Informer,Edge Magazine,NZGamer,1UP,IGN,Gamer.nl,GamesRadar+,Cheat Code Central,Giant Bomb,The A.V. Club,GameSpot,GamePro,X-ONE Magazine UK,Metro GameCentral,Destructoid,Xbox World 360 Magazine UK,Gaming Age,Eurogamer,Edge Magazine,Vandal,LEVEL (Czech Republic),1UP,Cheat Code Central,Gamer.nl,GamesRadar+,Multiplayer.it,GameSpot,GamePro,PC Gamer UK,PC PowerPlay,Gaming Age","82,80,80,75,74,73,70,70,70,70,70,69,67,63,60,60,60,60,58,55,50,50,50,45,40,33,80,70,70,70,67,64,60,60,60,55,50,45,40,33"
Lemony Snicket's A Series of Unfortunate Events, PlayStation 2,"GameZone,XGP Gaming,Cinescape,Gaming Nexus,PGNx Media,Game Chronicles,Next Level Gaming,Gamezilla!,IGN,AceGamez,Console Gameworld,GamingTrend,Worth Playing,eToychest,TotalPlayStation,Game Informer,G4 TV,PSX Nation,Games Radar,PALGN,Boomtown,The Sydney Morning Herald,Gaming Age,Official U.S. Playstation Magazine,Warcry","85,85,83,80,80,78,76,72,71,70,70,69,65,65,65,63,60,60,58,50,50,50,42,40,15"
Viewtiful Joe: Red Hot Rumble," PSP, GameCube","Official Playstation 2 Magazine UK,Gaming Target,GameZone,GameSpy,GamePro,Game Informer,AceGamez,3DAvenue,Boomtown,GameSpot,IGN,GamesRadar+,Cheat Code Central,Deeko,PSM2 Magazine UK,PALGN,PSW Magazine UK,DarkStation,PSM Magazine,Official U.S. Playstation Magazine,RewiredMind,GameBiz,VideoGamer,Pocket Gamer UK,GameBiz,Thunderbolt,GameZone,Gaming Target,Edge Magazine,Game Informer,Digital Entertainment News,GamePro,GameSpot,Nintendojo,Nintendo Power,Electronic Gaming Monthly,eToychest,Games Radar,Eurogamer,Cheat Code Central,Deeko,Kombo,Yahoo!,G4 TV,GameSpy,GameShark,IGN,NintendoWorldReport,Gaming Age,Game Revolution,GamerFeed","80,74,73,70,70,70,70,70,70,69,64,60,60,60,60,60,60,60,50,50,50,50,50,50,90,80,72,72,70,70,70,70,69,65,65,65,65,60,60,60,60,60,60,60,60,58,50,50,50,42,40"
Beholder: Complete Edition, PlayStation 4,"Gaming Nexus,Push Square,Digitally Downloaded,Playstation Official Magazine UK,Cubed3,PlayStation Country,TheSixthAxis,PlayStation LifeStyle","74,70,70,60,60,60,60,55"
Pid, PC,"Impulsegamer,XGN,Vandal,LEVEL (Czech Republic),GameSpot,NZGamer,CD-Action,Edge Magazine,Hardcore Gamer,PC PowerPlay,PC Gamer","85,75,75,70,70,68,65,60,60,50,50"
ReCore," Xbox One, PC","Game Over Online,ICXM,Impulsegamer,IGN Sweden,Areajugones,God is a Geek,Windows Central,XboxAddict,Multiplayer.it,GameOver.gr,CGMagazine,SpazioGames,IGN Italia,IGN Spain,Xbox Achievements,GamingTrend,IGN Denmark,IGN,Hobby Consolas,GamesBeat,Digitally Downloaded,Official Xbox Magazine UK,NZGamer,COGconnected,MondoXbox,3DJuegos,Eurogamer Poland,Game Rant,Everyeye.it,Vandal,Atomix,The Daily Dot,Trusted Reviews,Twinfinite,The Jimquisition,Stevivor,LevelUp,InsideGamer.nl,4Players.de,GRYOnline.pl,Arcade Sushi,XGN,Polygon,Edge Magazine,Games Master UK,LEVEL (Czech Republic),games(TM),DarkStation,High-Def Digest,Brash Games,TrueAchievements,Critical Hit,Eurogamer Italy,Meristation,Post Arcade (National Post),Game Revolution,Hardcore Gamer,Attack of the Fanboy,M3,GameSpot,JeuxActu,Game Informer,GameCrate,EGM,Gameblog.fr,Gamer.nl,Shacknews,Slant Magazine,Metro GameCentral,Worth Playing,Gaming Age,Giant Bomb,We Got This Covered,GamesRadar+,Destructoid,Wccftech,ZTGD,IGN,GameStar,CD-Action,Games.cz,Merlin'in Kazanı (Turkey),Gameplanet,Game World Navigator Magazine,Easy Allies,The Games Machine,Digital Spy,USgamer,Game Informer,Kill Screen,Washington Post,PCWorld,PC Gamer,PC PowerPlay,GameCritics,Giant Bomb","90,90,82,80,80,80,80,78,78,75,75,75,75,75,75,75,74,73,73,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,69,68,68,65,65,65,65,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,55,55,53,50,50,50,50,50,50,45,42,40,40,40,40,80,75,73,72,70,70,70,70,66,60,60,60,60,55,54,50,50,45,40,40,40"
Lemmings Touch, PlayStation Vita,"Pocket Gamer UK,Digital Spy,IGN Italia,Vandal,Eurogamer Italy,Gamereactor Denmark,Eurogamer Portugal,PlayStation Universe,God is a Geek,PlayStation LifeStyle,Playstation Official Magazine Australia,Everyeye.it,Digitally Downloaded,NZGamer,Gameblog.fr,Push Square,LevelUp,XGN,PlaySense,InsideGamer.nl","80,80,76,73,70,70,70,70,70,65,60,60,60,60,60,60,50,45,45,30"
Serial Cleaner, Xbox One,"GamingTrend,TheXboxHub,Multiplayer.it,COGconnected,Destructoid,XboxAddict,SomosXbox,Windows Central,TrueAchievements,ICXM,Generación Xbox,Official Xbox Magazine UK","80,80,73,72,70,63,62,60,60,60,55,40"
NBA 07," PlayStation 2, PlayStation 3","GameDaily,Game Over Online,GamingExcellence,Game Informer,Gaming Illustrated,eToychest,IGN,GameZone,Operation Sports,DailyGame,Da Gameboyz,GamePro,GameSpot,Gamers' Temple,Gaming Horizon,GamingTrend,GamesRadar+,GameSpy,DarkStation,1UP,PSM Magazine,Game Chronicles,Official U.S. Playstation Magazine,Gaming Age,","80,80,77,75,74,73,70,70,70,70,70,70,68,67,66,60,60,60,60,50,50,50,40,33,"
Crashday, PC,"PC Format,Pelit (Finland),Games Master UK,PC Zone UK,Eurogamer,Total PC Gaming,PC Gamer UK,GameSpot","75,70,67,65,60,60,59,48"
The Con, PSP,"AceGamez,Game Informer,GameCritics,BonusStage,Cheat Code Central,Gaming Horizon,GameZone,Extreme Gamer,Yahoo!,GameSpy,GamePro,Game Over Online,Gamezilla!,DarkStation,PSX Extreme,GameSpot,eToychest,Gaming Target,Games Master UK,Gamers' Temple,PSM Magazine,TotalPlayStation,Da Gameboyz,Game Chronicles,IGN,Modojo,Eurogamer,VideoGamer,Play UK,Official U.S. Playstation Magazine,Game Revolution,Pocket Gamer UK,VGPub,Electronic Gaming Monthly,G4 TV,Playstation Official Magazine UK,Gaming Age","100,80,80,79,78,77,75,75,70,70,70,70,70,70,70,68,68,68,67,66,65,65,64,64,62,60,60,60,59,50,50,50,42,40,40,40,25"
Van Helsing," Xbox, Game Boy Advance","GamingTrend,GameZone,Armchair Empire,TeamXbox,GameSpy,Next Level Gaming,Gamer's Hell,TotalGames.net,Total Video Games,Game Informer,Xbox World Australia,Adrenaline Vault,Yahoo!,GameSpot,Game Chronicles,IGN,Electronic Gaming Monthly,MS Xbox World,Official Xbox Magazine,Xbox Nation Magazine,Stuff,Xequted,Maxim Online,GamerFeed,Gaming Age,DailyGame,Edge Magazine,GameShark,Gamer's Pulse,Play Magazine,G4 TV,Game Revolution,Pocket Games,Nintendo Power,Cheat Code Central,GameZone,GameSpy,IGN,Worth Playing,Cinescape,GameSpot,Nintendojo,Nintendo Insider","80,79,77,75,75,75,74,73,70,70,70,70,70,69,68,65,65,65,63,60,60,60,60,60,58,55,50,50,50,50,40,33,70,48,40,32,30,25,25,25,22,20,20"
SSX 3, Game Boy Advance,"Nintendojo,Cheat Code Central,Next Level Gaming,GameSpot,Pocket Games,GamePro,Nintendo Power,Inside Gamer Online,GameZone,Computer and Video Games,IGN,Game Informer,Yahoo!,GameSpy","93,90,88,81,80,70,62,62,50,49,45,40,40,30"
