Title,Platform,sources,scores
Rift, PC,,
The Forest, PC,,
B-17 Flying Fortress: The Mighty 8th, PC,,
Blood, PC,,
Gemini Rue, PC,,
Resident Evil 4, PlayStation 4,,
3D Fantasy Zone II W, 3DS,,
Ghost Master, PC,,
Dragonshard, PC,,
The Longing, Switch,,
Xenoblade Chronicles 2: Torna ~ The Golden Country, Switch,,
Else Heart.Break(), PC,,
Prototype, PC,,
The Last Door, PC,,
Root Double: Before Crime * After Days - Xtend Edition, Switch,,
Tabula Rasa, PC,,
Pacific Fighters, PC,,
Resident Evil 4, PC,,
Resonance, PC,,
Blade of Darkness, PC,,
Broken Sword 5 - The Serpent's Curse, Switch,,
Earth 2150: The Moon Project, PC,,
Alone With You, PC,,
Take Command: 2nd Manassas, PC,,
void tRrLM(); //Void Terrarium, Switch,,
WRC 10 FIA World Rally Championship, PC,,
Yatagarasu: Attack on Cataclysm, PC,,
Commanders: Attack of the Genos, Xbox 360,,
Just Dance 2014, Wii U,,
Riddle of the Sphinx 2: The Omega Stone, PC,,
Sherlock Holmes: The Awakened, PC,,
8-Bit Adventure Anthology: Volume One, PlayStation 4,,
El Shaddai ASCENSION OF THE METATRON, PC,,
Dracula: Origin, PC,,
No Man's Land, PC,,
Silent Hill 2, PC,,
Tropico 6, Switch,,
Voodoo Vince Remastered, Xbox One,,
G-Force, PlayStation 3,,
Mega Man Battle Network 5: Double Team, DS,,
O.R.B., PC,,
Squad Assault: West Front, PC,,
The Experiment, PC,,
Warlocks vs Shadows, PC,,
Another Sight, PC,,
Agatha Christie: The ABC Murders, PC,,
Pirates of the Caribbean: At World's End, DS,,
Sunset, PC,,
Aerial_Knight's Never Yield, Switch,,
Forge, PC,,
James Bond 007: Blood Stone, PlayStation 3,,
Memento Mori 2, PC,,
Over the Hedge, PC,,
Prisoner of War, PC,,
Monsters vs. Aliens, PC,,
Pinball Hall of Fame: The Gottlieb Collection, PlayStation 2,,
Contrast, PC,,
Mable & The Wood, PC,,
Tannenberg, PlayStation 4,,
How to Train Your Dragon, DS,,
Bolt, PlayStation 3,,
Empire of the Ants, PC,,
Ignite, PC,,
TRON: Evolution - Battle Grids, Wii,,
Bee Movie Game, DS,,
Maelstrom (2007), PC,,
Over the Hedge: Hammy Goes Nuts, PSP,,
Wizards of Waverly Place, DS,,
100ft Robot Golf, Xbox 360,,
3D Classics: Xevious, Xbox 360,,
Ace Combat Advance, DS,,
Achtung! Cthulhu Tactics, Wii,,
Active Life: Extreme Challenge, PC,,
Alexander, Game Boy Advance,,
APB: Reloaded, Xbox,,
Army Men: Sarge's War, Xbox 360,,
Ary and the Secret of Seasons, PlayStation 2,,
Azur Lane: Crosswave, GameCube,,
Barnyard, DS,,
Besieger, PlayStation 2,,
Bet on Soldier: Blood Sport, Xbox One,,
Blair Witch Volume II: The Legend of Coffin Rock, Xbox,,
Bush Hockey League, PSP,,
Carnival Games, PlayStation 2,,
Carnivores: Cityscape, Xbox,,
Coded Arms: Contagion, Xbox,,
Colosseum: Road to Freedom, PSP,,
Combat Elite: WWII Paratroopers, PlayStation Vita,,
Contract J.A.C.K., Wii,,
Cooking Mama: Sweet Shop, Switch,,
Cool Boarders 2001, Wii,,
Critter Round-Up, Xbox One,,
Crucible, Switch,,
Da New Guys: Day of the Jackass, GameCube,,
Dance Factory, PlayStation 4,,
Dangerous Golf, Xbox 360,,
Dead Rising 3: Fallen Angel, PlayStation Vita,,
Deadliest Warrior: Legends, PlayStation 2,,
Deadliest Warrior: The Game, PlayStation 2,,
Deadly Dozen, PlayStation 2,,
Deadly Premonition 2: A Blessing in Disguise, Xbox,,
Disney Sports: Motocross, Xbox 360,,
Don't Knock Twice, Wii,,
Dragon Age: Origins - Witch Hunt, DS,,
Dragon Ball: Raging Blast, PlayStation 4,,
Dragoneer's Aria, Xbox,,
Drawn to Death, PC,,
Dungeon Explorer: Warriors of Ancient Arts, PlayStation 4,,
Dynasty Warriors Advance, GameCube,,
Dynasty Warriors DS: Fighter's Battle, Wii,,
EA Replay, PC,,
Eco Shooter: Plant 530, Xbox 360,,
Edna & Harvey: The Breakout, PlayStation 3,,
Empyre: Lords of the Sea Gates, Switch,,
Fair Strike, Switch,,
Far Cry 4: Escape from Durgesh Prison, Xbox One,,
FIFA Street 3, PC,,
Fullmetal Alchemist and the Broken Angel, Game Boy Advance,,
G.I. Joe: Operation Blackout, 3DS,,
Gal*Gun 2, PlayStation 3,,
Garfield and His Nine Lives, PlayStation 2,,
Gotcha Force, PC,,
Gyruss, DS,,
Hardware: Rivals, PC,,
Harry Potter and the Sorcerer's Stone, DS,,
High School Musical: Sing It!, PC,,
Hot Dog King A Fast Food Empire, GameCube,,
Infinity Runner, Xbox Series X,,
Inversion, 3DS,,
Jambo! Safari: Animal Rescue, Game Boy Advance,,
Jewel Master: Egypt, PC,,
Judge Dredd: Dredd VS Death, Game Boy Advance,,
King's Bounty II, Xbox 360,,
Korea: Forgotten Conflict, Xbox One,,
Kung-Fu High Impact, Wii,,
Law & Order: Criminal Intent, DS,,
Leisure Suit Larry: Reloaded, PlayStation 5,,
Lethal VR, PlayStation 3,,
LOL: Never Party Alone!, PlayStation 4,,
Mafia II: Definitive Edition, Xbox 360,,
Manchester United Soccer 2005, PlayStation 5,,
Master of the Monster Lair, PC,,
Maximum Chase, DS,,
Medal of Honor: Vanguard, PC,,
Miami Law, Wii,,
MLB SlugFest 2006, Xbox One,,
Monster Jam Steel Titans 2, Xbox 360,,
MUD - FIM Motocross World Championship, Game Boy Advance,,
MySims Party, GameCube,,
Naruto Shippuden: Shinobi Rumble, PlayStation 4,,
Next Life, PlayStation 4,,
Perception, Game Boy Advance,,
Peter Jackson's King Kong: The Official Game of the Movie, Wii,,
Pirates of Black Cove, DS,,
Pokemon Rumble Blast, PlayStation 4,,
Pokemon Shuffle, Game Boy Advance,,
Port Royale 3: Pirates and Merchants, DS,,
Postal, Wii,,
Predator: Hunting Grounds, PSP,,
ProStroke Golf - World Tour 2007, Game Boy Advance,,
Q*bert: Rebooted: The XBOX One @!#?@! Edition, PC,,
Rafa Nadal Tennis, PlayStation 4,,
Recompile, PlayStation 3,,
Red Johnson's Chronicles - One Against All, PlayStation 4,,
Reign of Fire, Xbox 360,,
RF Online, DS,,
RollerCoaster Tycoon Adventures, GameCube,,
Rooms: The Main Building, 3DS,,
Roving Rogue, Wii,,
Run Like Hell!, PlayStation 4,,
Safecracker: The Ultimate Puzzle Adventure, PlayStation 3,,
Savage Skies, Xbox 360,,
Scooby-Doo! Mystery Mayhem, PC,,
Scooby-Doo! Who's Watching Who?, PlayStation 2,,
Shattered Skies, PlayStation 2,,
Short Peace: Ranko Tsukigime's Longest Day, Wii,,
Sonic Forces, PlayStation 3,,
Sonic Riders: Zero Gravity, Xbox 360,,
Spawn: Armageddon, PC,,
Spelunker HD, Xbox,,
SpongeBob SquarePants: Creature from the Krusty Krab, Xbox One,,
Spyro: Enter the Dragonfly, 3DS,,
Star Trek: Legacy, Xbox,,
Star Wars The Clone Wars: Lightsaber Duels, PC,,
Street Hoops, PC,,
Super Monkey Ball Adventure, Xbox 360,,
Super Toy Cars, PlayStation 4,,
Supreme Commander, PlayStation 2,,
Supreme League of Patriots, PlayStation 2,,
Surgeon Simulator: Anniversary Edition, Dreamcast,,
Syndrome, Switch,,
Table Mini Golf, Xbox One,,
Table Top Tanks, PC,,
Tang Tang, PlayStation Vita,,
Tenchu Z, PlayStation 4,,
The Adventures of Tintin: The Game, PlayStation 4,,
The Council - Episode 5: Checkmate, PSP,,
The Italian Job, PlayStation 3,,
The LEGO Movie 2 Videogame, Xbox 360,,
The Technomancer, PlayStation Vita,,
The Walking Dead Onslaught, PlayStation 3,,
The X-Files Game, PlayStation 2,,
Thor: God of Thunder, Xbox One,,
Tokyo Beat Down, Xbox 360,,
Tom Clancy's Ghost Recon: Breakpoint, Switch,,
Toren, DS,,
Transformers Prime: The Game, DS,,
Transformers: The Game, Wii U,,
TV Superstars, Xbox 360,,
Unbound Saga, PC,,
Valkyria Revolution, DS,,
Velvet Assassin, PlayStation 2,,
Viva Pinata: Party Animals, PlayStation Vita,,
Warriors Orochi 2, Xbox One,,
We Cheer, PlayStation 2,,
Werewolf: The Apocalypse - Earthblood, Switch,,
WWE Crush Hour, PC,,
WWE WrestleMania 21, PC,,
X-Men: Next Dimension, Wii,,
Yu Yu Hakusho: Dark Tournament, PC,,
Zatch Bell! Mamodo Battles, Xbox 360,,
300: March to Glory, PlayStation 2,,
A.W.: Phoenix Festa, PC,,
Akiba's Beat, PC,,
Alias (2004), Game Boy Advance,,
Alien Spidy, Xbox,,
Aliens Versus Predator 2: Primal Hunt Expansion Pack, 3DS,,
Alone in the Dark, DS,,
Anamorphine, Xbox 360,,
Asteroids & Deluxe, PC,,
Babel Rising, DS,,
Battlestar Galactica, Wii,,
Blair Witch Volume III: The Elly Kedward Tale, Xbox 360,,
Bloody Good Time, PlayStation 4,,
BlowOut, Wii,,
Bob Help Them, DS,,
Bohemian Killing, PlayStation 2,,
Bomberman Land Portable, Xbox 360,,
Bright Memory, PlayStation 2,,
Bullet Witch, Switch,,
BurgerTime: World Tour, PlayStation 2,,
Buzz Lightyear of Star Command, PC,,
C.O.P.: The Recruit, PlayStation 2,,
Cabela's Dangerous Hunts 2011, PC,,
Cake Mania, 3DS,,
Cartoon Network Racing, PC,,
Centipede & Millipede, PlayStation 4,,
Classic NES Series: Donkey Kong, Xbox 360,,
Close to the Sun, Xbox,,
Codename: Outbreak, Xbox,,
Conflict: Desert Storm, PlayStation 3,,
Conflict: Vietnam, Xbox 360,,
Criminal Girls: Invite Only, Wii,,
Crimson Dragon, PlayStation 3,,
Cube Life: Island Survival, PlayStation 4,,
Dark Horizon, Xbox,,
Darkout, Xbox,,
Diner Dash: Sizzle & Serve, 3DS,,
Don King Boxing, PC,,
Dragon Ball Z: Ultimate Tenkaichi, PSP,,
DreadOut, Xbox 360,,
Driven, PlayStation 4,,
Driving Emotion Type-S, PSP,,
Dynasty Warriors: Gundam, PlayStation 4,,
Elite: Dangerous - Odyssey, 3DS,,
Endless Ages, Dreamcast,,
Evil Dead: A Fistful of Boomstick, Xbox 360,,
Fable Heroes, Wii U,,
Fade to Silence, PlayStation Vita,,
Fist of the North Star: Ken's Rage 2, DS,,
Ford Mustang: The Legend Lives, PlayStation 4,,
Frogger Advance: The Great Quest, PlayStation 3,,
Genji: Days of the Blade, Wii,,
Gunfighter: The Legend of Jesse James, PC,,
GunGriffon: Allied Strike, PlayStation 4,,
Half Past Fate: Romantic Distancing, DS,,
Hard to be a God, PlayStation 3,,
Haze, PlayStation 4,,
Hercules: The Legendary Journeys, PSP,,
Hoshigami: Ruining Blue Earth Remix, Wii,,
Hot Pixel, PlayStation 2,,
Humans Must Answer, PlayStation 2,,
Hyperdimension Neptunia Victory, PSP,,
I of the Dragon, Wii,,
Ice Age: Scrat's Nutty Adventure, Game Boy Advance,,
IGPX: Immortal Grand Prix, Xbox One,,
Insecticide, PlayStation 2,,
Jaws Unleashed, Game Boy Advance,,
Judge Dredd: Dredd VS Death, PSP,,
Kinect Star Wars, GameCube,,
Legends of Wrestling, PlayStation 4,,
Lost: Via Domus, Game Boy Advance,,
Magnetic: Cage Closed, PlayStation 3,,
Mario & Sonic at the Sochi 2014 Olympic Winter Games, PC,,
Marvel Super Hero Squad: The Infinity Gauntlet, Xbox Series X,,
Medal of Honor: Warfighter, Game Boy Advance,,
Medal of Honor: Warfighter, 3DS,,
Mega Man Star Force 2: Zerker x Ninja, PlayStation 3,,
Mega Man Star Force 2: Zerker x Saurian, PC,,
Metal Wolf Chaos XD, DS,,
Might and Magic IX, Switch,,
Mighty No. 9, Xbox 360,,
Monochroma, Wii U,,
Monster Madness: Battle for Suburbia, PlayStation 2,,
Mugen Souls, DS,,
Myst III: Exile, Xbox One,,
Naruto Shippuden: Ninja Destiny 2, Xbox 360,,
Naruto: Ninja Council 2, Xbox 360,,
NCAA Final Four 2001, Wii U,,
NHL FaceOff 2003, PC,,
Ninjamurai, PlayStation 4,,
Order Up!!, PlayStation Vita,,
Othello, PC,,
Pokemon Channel, PlayStation 2,,
Rabbids Travel in Time 3D, Xbox,,
RLH: Run Like Hell, PlayStation Vita,,
Robocraft Infinity, PC,,
Rugby 2004, Dreamcast,,
Rugby World Cup 2011, PSP,,
Rune Factory: Tides of Destiny, PlayStation 4,,
Rush, PC,,
Saint Seiya: Brave Soldiers, Xbox 360,,
Salt Lake 2002, Switch,,
Samurai Warriors 2: Empires, PlayStation 4,,
Samurai Warriors 3, PC,,
Scooby-Doo! Mystery Mayhem, PC,,
Sense: A Cyberpunk Ghost Story, PlayStation 2,,
Shifting World, PlayStation 4,,
Shinobido 2: Revenge of Zen, GameCube,,
Showdown: Legends of Wrestling, PC,,
Shrek 2, PlayStation 3,,
Smash Court Tennis 3, DS,,
Sniper: Ghost Warrior, PlayStation 5,,
Sniper: Ghost Warrior 3, Xbox 360,,
Space Channel 5: Ulala's Cosmic Attack, DS,,
Space Hulk: Deathwing, PlayStation Vita,,
SpellForce 2: Faith in Destiny, Xbox 360,,
SportsBarVR, Game Boy Advance,,
Start the Party!, PlayStation 4,,
Suicide Guy, PlayStation,,
Super Monkey Ball 3D, PlayStation 4,,
Surf Rocket Racers, Xbox One,,
Tecmo Classic Arcade, Switch,,
Teenage Mutant Ninja Turtles (2003), Nintendo 64,,
The Amazing Spider-Man, PC,,
The Assembly, 3DS,,
The Bradwell Conspiracy, Xbox 360,,
The Cursed Crusade, Xbox,,
The Great Escape, Xbox One,,
The Incredibles, PlayStation 4,,
The Incredibles, PSP,,
The Park, PlayStation 3,,
The Seven Deadly Sins: Knights of Britannia, PlayStation 2,,
The Simpsons: Road Rage, PlayStation 3,,
The War of the Worlds, PC,,
Thor: God of Thunder, PC,,
Titan Quest, DS,,
Topatoi: Spinning Through The Worlds, Xbox 360,,
Totaled!, PC,,
Touhou Genso Rondo: Bullet Ballet, Xbox 360,,
Transformers: The Game, DS,,
Trinity: Souls of Zill O'll, Xbox One,,
Trioncube, PlayStation 3,,
Under the Skin, DS,,
Virtua Quest, Xbox One,,
VR Ping Pong Pro, PC,,
Warhammer Quest, PlayStation 2,,
Warhammer: Battle for Atluma, Switch,,
Warhammer: Battle March, GameCube,,
Watchmen: The End Is Nigh, Wii,,
WWE Crush Hour, Switch,,
WWE Survivor Series, PC,,
X2: Wolverine's Revenge, PSP,,
You're in the Movies, Wii U,,
Zack Zero, Xbox One,,
Zapper, PlayStation 3,,
007: Quantum of Solace, PlayStation 2,,
2Dark, Xbox 360,,
A Valley Without Wind, Dreamcast,,
Ace Combat Infinity, PC,,
Achron, Xbox,,
Army Men: Sarge's Heroes 2, Switch,,
Army of Two: The Devil's Cartel, PC,,
Astro Boy, PC,,
Backbreaker, PC,,
Battle of Europe, PSP,,
Bitlogic - A Cyberpunk Arcade Adventure, Game Boy Advance,,
Black Mirror, PlayStation 2,,
BMX XXX, PlayStation 3,,
Boogie Bunnies, PlayStation 2,,
Buzz Lightyear of Star Command, PlayStation 3,,
Carnivores: Ice Age, Switch,,
Cars Race-O-Rama, PlayStation 4,,
Cast of the Seven Godsends, Xbox 360,,
Combat Elite: WWII Paratroopers, PC,,
Create, PlayStation 4,,
Creepy Tale, Xbox 360,,
